id;address;year;base_type;build_year;cesspools_volume;cold_water_type;common_hold_square;electo_type;electro_inputs;elevators;energo_class;entrance;ext_info;face_type;fire_exting_type;floors;floors_min;garbage_chute_count;garbage_chute_type;gas_supply_type;gutter_type;hot_water_type;kap_rem_fund;land_plot_area;latitude;living_rooms;living_square;longtitude;manager;not_living_rooms;not_living_square;other;overlap_type;parking_area;playground;roof_type;roofing_type;rooms;seria;sportground;square;type;underground_square;vent_type;wall_type;warming_type;water_disposal_type;working_year;wreck
8131167;п. Теплоозерск, ул. Бонивура, д. 4;;Не заполнено;1980;Не заполнено;Центральное;Не заполнено;Центральное;Не заполнено;0;Не заполнено;4;Не заполнено;Нет данных;Не заполнено;2;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Центральное (открытая система);Не заполнено;2800.0;49.016482;Не заполнено;207.5;131.88561;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;152.3;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Нет данных;Нет данных;4;Не заполнено;Не заполнено;359.8;Многоквартирный дом;Не заполнено;Не заполнено;Каменные, кирпичные;Не заполнено;Центральное;1980;Нет
8131174;п. Теплоозерск, ул. Бонивура, д. 5;;Не заполнено;1991;Не заполнено;Центральное;96.4;Центральное;Не заполнено;0;Не заполнено;2;Не заполнено;Соответствует материалу стен;Не заполнено;3;Не заполнено;Не заполнено;Отсутствует;Не заполнено;Не заполнено;Центральное (открытая система);Не определен;Не заполнено;49.015466;18;790.7;131.884775;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";0;433.9;Не заполнено;Железобетонные;Не заполнено;Не имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);18;кирпичный;Не имеется;1224.6;Многоквартирный дом;406.0;Не заполнено;Каменные, кирпичные;Центральное;Центральное;1991;Нет
8131175;п. Теплоозерск, ул. Бонивура, д. 6;;Не заполнено;1981;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;4;Не заполнено;Нет данных;Не заполнено;2;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;4532.0;49.016505;Не заполнено;209.0;131.884937;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;149.7;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Нет данных;Нет данных;4;Не заполнено;Не заполнено;358.7;Многоквартирный дом;Не заполнено;Не заполнено;Каменные, кирпичные;Не заполнено;Не заполнено;1981;Нет
8131176;п. Теплоозерск, ул. Бонивура, д. 7;;Иной;1991;Не заполнено;Центральное;314.2;Центральное;Не заполнено;0;Не заполнено;4;Не заполнено;Соответствует материалу стен;Не заполнено;5;Не заполнено;Не заполнено;Отсутствует;Не заполнено;Не заполнено;Центральное (открытая система);Не определен;Не заполнено;49.01533;Не заполнено;1980.6;131.883562;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;1393.9;Не заполнено;Железобетонные;Не заполнено;Не имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);60;панельный;Не имеется;3374.5;Многоквартирный дом;761.4;Не заполнено;Панельные;Центральное;Центральное;1991;Нет
8131177;п. Теплоозерск, ул. Бонивура, д. 8;;Не заполнено;1981;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;4;Не заполнено;Нет данных;Не заполнено;2;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2892.0;49.016446;Не заполнено;212.1;131.884137;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;155.5;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Нет данных;Нет данных;4;Не заполнено;Не заполнено;367.6;Многоквартирный дом;Не заполнено;Не заполнено;Каменные, кирпичные;Не заполнено;Не заполнено;1981;Нет
8131178;п. Теплоозерск, ул. Бонивура, д. 9;;Иной;1992;Не заполнено;Центральное;108.2;Центральное;Не заполнено;0;Не заполнено;2;Не заполнено;Соответствует материалу стен;Не заполнено;3;Не заполнено;Не заполнено;Отсутствует;Не заполнено;Не заполнено;Центральное (открытая система);Не определен;629.2;49.014798;Не заполнено;843.7;131.882826;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;472.6;Не заполнено;Железобетонные;Не заполнено;Не имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);18;кирпичный;Не имеется;1316.3;Многоквартирный дом;443.5;Не заполнено;Каменные, кирпичные;Центральное;Центральное;1992;Нет
8131179;п. Теплоозерск, ул. Бонивура, д. 10;;Иной;1987;Не заполнено;Центральное;110.7;Центральное;Не заполнено;0;Не заполнено;3;Не заполнено;Соответствует материалу стен;Не заполнено;3;Не заполнено;Не заполнено;Отсутствует;Не заполнено;Не заполнено;Центральное (открытая система);Не определен;914.0;49.01644;Не заполнено;830.0;131.883122;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;604.5;Не заполнено;Железобетонные;Не заполнено;Имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);27;кирпичный;Не имеется;1434.5;Многоквартирный дом;Не заполнено;Не заполнено;Каменные, кирпичные;Центральное;Центральное;1987;Нет
8131180;п. Теплоозерск, ул. Бонивура, д. 12;;Иной;1981;Не заполнено;Центральное;123.9;Центральное;Не заполнено;0;Не заполнено;2;Не заполнено;Соответствует материалу стен;Не заполнено;5;Не заполнено;Не заполнено;Отсутствует;Не заполнено;Не заполнено;Центральное (открытая система);Не определен;Не заполнено;49.016464;Не заполнено;853.6;131.882314;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;488.9;Не заполнено;Железобетонные;Не заполнено;Имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);20;кирпичный;Не имеется;1342.5;Многоквартирный дом;Не заполнено;Не заполнено;Каменные, кирпичные;Центральное;Центральное;1981;Нет
8131181;п. Теплоозерск, ул. Бонивура, д. 14;;Иной;1992;Не заполнено;Центральное;Не заполнено;Центральное;Не заполнено;0;Не заполнено;3;Не заполнено;Соответствует материалу стен;Не заполнено;5;Не заполнено;Не заполнено;Отсутствует;Не заполнено;Не заполнено;Центральное (открытая система);Не определен;855.4;49.015631;Не заполнено;1831.0;131.882179;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;1209.9;Не заполнено;Железобетонные;Не заполнено;Имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);60;кирпичный;Не имеется;3040.9;Многоквартирный дом;855.36;Не заполнено;Каменные, кирпичные;Центральное;Центральное;1992;Нет
8131182;п. Теплоозерск, ул. Бонивура, д. 16;;Не заполнено;1994;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2207.0;49.015631;Не заполнено;123.5;131.882179;"МУП ""Единый заказчик"" мо ""Теплоозерское городское поселение""";Не заполнено;76.8;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Нет данных;Нет данных;2;Не заполнено;Не заполнено;200.3;Многоквартирный дом;Не заполнено;Не заполнено;Каменные, кирпичные;Не заполнено;Не заполнено;1994;Нет
