id;address;year;base_type;build_year;cesspools_volume;cold_water_type;common_hold_square;electo_type;electro_inputs;elevators;energo_class;entrance;ext_info;face_type;fire_exting_type;floors;floors_min;garbage_chute_count;garbage_chute_type;gas_supply_type;gutter_type;hot_water_type;kap_rem_fund;land_plot_area;latitude;living_rooms;living_square;longtitude;manager;not_living_rooms;not_living_square;other;overlap_type;parking_area;playground;roof_type;roofing_type;rooms;seria;sportground;square;type;underground_square;vent_type;wall_type;warming_type;water_disposal_type;working_year;wreck
9054717;ул. Челюскинцев, д. 32А;;Ленточный;1958;0.0;Центральное;72.5;Центральное;1;0;A;1;Не заполнено;Окрашенный;Отсутствует;3;3;0;Отсутствует;Центральное;Отсутствует;Отсутствует;Не определен;397.4;44.633027;12;467.46;33.542051;Не заполнено;0;115.0;Не заполнено;Железобетонные;0.00;Не имеется;Плоская;Из рулонных материалов;12;Не заполнено;Не имеется;654.96;Не заполнено;0.0;Вытяжная вентиляция;Каменные, кирпичные;Центральное;Центральное;1958;Нет
9054718;ул. Челюскинцев, д. 32Б;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.632655;Не заполнено;Не заполнено;33.541817;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9054719;ул. Челюскинцев, д. 34;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.632353;Не заполнено;Не заполнено;33.541359;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9054720;ул. Челюскинцев, д. 34А;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.632443;Не заполнено;Не заполнено;33.541817;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9054721;ул. Челюскинцев, д. 34Б;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.63211;Не заполнено;Не заполнено;33.541646;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9054723;ул. Челюскинцев, д. 34В;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.632155;Не заполнено;Не заполнено;33.542015;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9054725;ул. Челюскинцев, д. 36;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.632899;Не заполнено;Не заполнено;33.541539;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9054727;ул. Челюскинцев, д. 36В;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.632738;Не заполнено;Не заполнено;33.542266;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9055882;ул. Челюскинцев, д. 43;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.637504;Не заполнено;Не заполнено;33.541152;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9000409;ул. Челюскинцев, д. 51;;Ленточный;1958;Не заполнено;Отсутствует;0.0;Центральное;1;0;A;1;Не заполнено;Окрашенный;Отсутствует;2;2;Не заполнено;Отсутствует;Отсутствует;Наружные водостоки;Отсутствует;Не определен;420.48;44.637504;4;207.54;33.541152;Не заполнено;0;0.0;Не заполнено;Деревянные;Не заполнено;Не заполнено;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);4;Не заполнено;Не заполнено;207.54;Многоквартирный дом;0.0;Отсутствует;Блочные;Печное;Отсутствует;1958;Нет
