,id,year,latitude,longtitude,wall_type,floors,gutter_type,address,entrance,gas_supply_type,living_rooms,warming_type,cold_water_type,hot_water_type,square,not_living_square,common_hold_square,living_square,base_addr,dist,norm_addr
9176,7564707,1963.0,55.87876,37.68697,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Магаданская, д. 6",4.0,Центральное,160,Центральное,Центральное,Центральное (закрытая система),3367.0,0.0,2365.0,3367.0,"Магаданская улица, дом 6",0.0,"улица магаданская, дом_6"
18556,7647375,1972.0,55.72623,37.77609,"Каменные, кирпичные",5.0,Не заполнено,"ул. Шатурская, д. 49, к. 2",4.0,Центральное,Не заполнено,Центральное,Центральное,Центральное (закрытая система),3366.0,0.0,0.0,2235.0,"Шатурская улица, дом 49, корпус 2",0.0,"улица шатурская, дом_49, корпус_2"
16405,7566681,1955.0,55.67226,37.74259,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Судакова, д. 6",2.0,Центральное,40,Центральное,Центральное,Центральное (закрытая система),3152.0,512.0,0.0,2640.0,"улица Судакова, дом 6",0.0,"улица судакова, дом_6"
12013,7591042,1954.0,55.71309,37.85741,"Каменные, кирпичные",2.0,Отсутствует,"ул. Оренбургская, д. 6, к. 2",2.0,Центральное,12,Центральное,Центральное,Квартирное (квартирный котел),619.0,0.0,533.0,619.0,"Оренбургская улица, дом 6, корпус 2",0.0,"улица оренбургская, дом_6, корпус_2"
12285,7914370,1965.0,55.82878,37.75878,Блочные,5.0,Наружные водостоки,"ш. Открытое, д. 25, к. 15",4.0,Центральное,80,Центральное,Центральное,Центральное (открытая система),3547.7,0.0,0.0,3547.7,"Открытое шоссе, дом 25, корпус 15",0.0,"шоссе открытое, дом_25, корпус_15"
1746,9010511,1965.0,55.87236,37.51218,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Ангарская, д. 5",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3343.0,1077.0,0.0,2266.0,"Ангарская улица, дом 5",0.0,"улица ангарская, дом_5"
4327,7946279,1966.0,55.72242,37.42547,Панельные,5.0,Не заполнено,"ул. Гвардейская, д. 8",6.0,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,5153.0,0.0,0.0,5153.0,"Гвардейская улица, дом 8",0.0,"улица гвардейская, дом_8"
6027,8646697,1963.0,55.75445,37.79526,"Каменные, кирпичные",5.0,Наружные водостоки,"пр-кт. Зеленый, д. 39, к. 4",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3377.7,0.0,3163.15,2207.0,"Зелёный проспект, дом 39, корпус 4",0.0,"проспект зеленый, дом_39, корпус_4"
5046,7873736,1903.0,55.7235,37.64731,"Каменные, кирпичные",3.0,Наружные водостоки,"ул. Дербеневская, д. 14, к. 5",2.0,Центральное,3,Центральное,Центральное,Центральное (закрытая система),2520.1,148.5,245.0,2371.6,"Дербеневская улица, дом 14, корпус 5",0.0,"улица дербеневская, дом_14, корпус_5"
5173,7645306,1966.0,55.84765,37.56685,"Каменные, кирпичные",5.0,Наружные водостоки,"ш. Дмитровское, д. 63, к. 1",4.0,Центральное,64,Центральное,Центральное,Центральное (закрытая система),3524.4,799.7,934.3,2724.7,"Дмитровское шоссе, дом 63, корпус 1",0.0,"шоссе дмитровское, дом_63, корпус_1"
