,id,year,latitude,longtitude,wall_type,floors,gutter_type,address,entrance,gas_supply_type,living_rooms,warming_type,cold_water_type,hot_water_type,square,not_living_square,common_hold_square,living_square,base_addr,dist,norm_addr
5674,7603428,1966.0,55.62719,37.67556,Панельные,5.0,Наружные водостоки,"ул. Ереванская, д. 24, к. 2",6.0,Центральное,120,Центральное,Центральное,Центральное (закрытая система),5264.2,0.0,0.0,5264.26,"Ереванская улица, дом 24, корпус 2",0.0,"улица ереванская, дом_24, корпус_2"
18907,8042795,1965.0,55.81094,37.82559,Панельные,5.0,Наружные водостоки,"ш. Щелковское, д. 92, к. 3",5.0,Центральное,100,Центральное,Центральное,Центральное (закрытая система),4520.6,0.0,725.0,4520.6,"Северное Измайлово Щёлковское шоссе, дом 92, корпус 3",0.0,"шоссе щелковское, дом_92, корпус_3"
677,8249531,1971.0,55.53425,37.16068,"Каменные, кирпичные",2.0,Отсутствует,"п. Первомайское, ул. Парковая, д. 6",1.0,Отсутствует,5,Центральное,Центральное,Отсутствует,364.9,56.8,0.0,312.3,"поселение Первомайское, посёлок Первомайское, Рабочая улица, дом 6",0.16666666666666666,"поселок  первомайское, улица парковая, дом_6"
17178,7673429,1962.0,55.67412,37.50701,Панельные,5.0,Не заполнено,"ул. Удальцова, д. 45",4.0,Центральное,Не заполнено,Центральное,Центральное,Центральное (закрытая система),3547.0,0.0,0.0,3547.0,"улица Удальцова, дом 45",0.0,"улица удальцова, дом_45"
1549,7957367,1962.0,55.83805,37.54148,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Академическая Б., д. 53",4.0,Центральное,80,Центральное,Центральное,Центральное (открытая система),3452.9,30.5,1987.8,3422.4,"Большая Академическая улица, дом 53",0.4,"улица академическая б., дом_53"
18877,7559591,1965.0,55.81078,37.78942,Блочные,5.0,Наружные водостоки,"ш. Щелковское, д. 53",4.0,Центральное,110,Центральное,Центральное,Центральное (открытая система),3427.0,0.0,0.0,3427.0,"Щёлковское шоссе, дом 53",0.0,"шоссе щелковское, дом_53"
2708,8050604,1965.0,55.66243,37.58476,Панельные,5.0,Наружные водостоки,"ул. Болотниковская, д. 46, к. 1",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3526.5,0.0,0.0,3526.5,"Болотниковская улица, дом 46, корпус 1",0.0,"улица болотниковская, дом_46, корпус_1"
3022,7558800,1949.0,55.76004,37.73351,"Каменные, кирпичные",4.0,Наружные водостоки,"ул. Буракова, д. 25А",2.0,Центральное,22,Центральное,Центральное,Отсутствует,1720.5,382.4,102.9,1338.1,"Буракова улица, дом 25А",0.0,"улица буракова, дом_25а"
135,8730198,1997.0,55.53083,37.44691,"Каменные, кирпичные",9.0,Внутренние водостоки,"п. Воскресенское, д. 31",5.0,Центральное,110,Центральное,Центральное,Центральное (закрытая система),12933.8,0.0,3198.0,9735.8,"поселение Внуковское, посёлок Внуково, дом 31",0.6666666666666666,"поселок  воскресенское, дом_31"
13189,7559727,1966.0,55.74417,37.78311,Панельные,5.0,Наружные водостоки,"ул. Перовская, д. 46, к. 2",4.0,Центральное,80,Центральное,Центральное,Центральное (открытая система),3567.0,0.0,3567.0,2317.0,"Перовская улица, дом 46, корпус 2",0.0,"улица перовская, дом_46, корпус_2"
13565,8643902,1962.0,55.74634,37.76157,Панельные,5.0,Наружные водостоки,"ул. Плющева, д. 3",4.0,Центральное,72,Центральное,Центральное,Центральное (закрытая система),3473.7,5.0,0.0,3468.0,"улица Плющева, дом 3",0.0,"улица плющева, дом_3"
18265,8093330,1962.0,55.64436,37.61411,Блочные,5.0,Наружные водостоки,"б-р. Черноморский, д. 5, к. 2",5.0,Центральное,100,Центральное,Центральное,Центральное (закрытая система),4464.0,0.0,0.0,2981.5,"Черноморский бульвар, дом 5, корпус 2",0.0,"бульвар черноморский, дом_5, корпус_2"
7752,7673598,1962.0,55.67848,37.49346,Панельные,5.0,Не заполнено,"ул. Коштоянца, д. 7",5.0,Центральное,Не заполнено,Центральное,Центральное,Центральное (закрытая система),4520.0,45.0,0.0,4475.0,"улица Коштоянца, дом 7",0.0,"улица коштоянца, дом_7"
4435,7582508,1960.0,55.78302,37.46916,Смешанные,5.0,Наружные водостоки,"б-р. Генерала Карбышева, д. 19, к. 3",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),4120.5,633.7,0.0,3486.8,"бульвар Генерала Карбышева, дом 19, корпус 3",0.0,"бульвар генерала карбышева, дом_19, корпус_3"
13960,7676959,1928.0,55.79087,37.71362,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Преображенский Вал, д. 24, к. 6",6.0,Центральное,92,Центральное,Центральное,Центральное (закрытая система),6678.0,1715.3,4079.65,4962.7,"улица Преображенский Вал, дом 24, корпус 6",0.0,"улица преображенский вал, дом_24, корпус_6"
16163,7996842,1957.0,55.8019,37.61141,"Каменные, кирпичные",4.0,Внутренние водостоки,"ш. Старомарьинское, д. 6",1.0,Отсутствует,16,Центральное,Центральное,Центральное (закрытая система),1163.0,228.0,0.0,935.0,"Старомарьинское шоссе, дом 6",0.0,"шоссе старомарьинское, дом_6"
6016,8646678,1965.0,55.75371,37.78928,Панельные,5.0,Наружные водостоки,"пр-кт. Зеленый, д. 29, к. 3",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3528.6,1139.0,3116.9,2390.0,"Зелёный проспект, дом 29, корпус 3",0.0,"проспект зеленый, дом_29, корпус_3"
3670,7680677,1950.0,55.76045,37.7841,"Каменные, кирпичные",3.0,Наружные водостоки,"ул. Владимирская 3-я, д. 10А",2.0,Центральное,18,Центральное,Центральное,Отсутствует,1167.6,0.0,596.3,720.0,"3-я Владимирская улица, дом 10А",0.0,"улица владимирская 3-я, дом_10а"
11392,8022363,1965.0,55.84035,37.53122,"Каменные, кирпичные",9.0,Внутренние водостоки,"проезд. Новомихалковский 3-й, д. 17а",3.0,Центральное,108,Центральное,Центральное,Центральное (открытая система),4621.8,0.0,1683.9,4621.8,"3-й Новомихалковский проезд, дом 17А",0.0,"проезд. новомихалковский 3-й, дом_17а"
6594,8163100,1959.0,55.80946,37.61957,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Калибровская, д. 22А",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2511.4,0.0,1650.5,2511.4,"Калибровская улица, дом 22А",0.0,"улица калибровская, дом_22а"
18942,7677183,1861.0,55.78644,37.70557,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Электрозаводская, д. 12А",1.0,Центральное,88,Центральное,Центральное,Центральное (закрытая система),5535.4,114.0,0.0,5421.1,"Электрозаводская улица, дом 12А",0.0,"улица электрозаводская, дом_12а"
939,8664969,1964.0,55.41322,37.19364,"Каменные, кирпичные",5.0,Отсутствует,"п. Шишкин Лес, д. 9",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3204.8,3204.8,0.0,2119.8,"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 9",0.42857142857142855,"поселок  шишкин лес, дом_9"
12689,8041675,1960.0,55.80543,37.78418,Панельные,5.0,Наружные водостоки,"ул. Парковая 3-я, д. 46, к. 3",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2621.8,53.6,485.0,2568.2,"3-я Парковая улица, дом 46, корпус 3",0.0,"улица парковая 3-я, дом_46, корпус_3"
16403,7566664,1955.0,55.6722,37.7416,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Судакова, д. 4",2.0,Центральное,35,Центральное,Центральное,Центральное (закрытая система),3160.0,855.0,0.0,2305.0,"улица Судакова, дом 4",0.0,"улица судакова, дом_4"
6148,7851200,1955.0,55.75125,37.68262,"Каменные, кирпичные",3.0,Наружные водостоки,"проезд. Золоторожский, д. 2, к. 1",1.0,Центральное,7,Центральное,Центральное,Центральное (закрытая система),919.0,0.0,0.0,585.0,"Золоторожский проезд, дом 2, корпус 1",0.0,"проезд. золоторожский, дом_2, корпус_1"
4408,8033454,1958.0,55.77849,37.47055,"Каменные, кирпичные",5.0,Наружные водостоки,"б-р. Генерала Карбышева, д. 6, к. 1",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),3437.0,1282.0,304.0,2149.0,"бульвар Генерала Карбышева, дом 6, корпус 1",0.0,"бульвар генерала карбышева, дом_6, корпус_1"
12249,7723259,1963.0,55.82398,37.75466,Панельные,5.0,Наружные водостоки,"ш. Открытое, д. 21, к. 6",5.0,Центральное,100,Центральное,Центральное,Центральное (открытая система),4499.3,18.9,0.0,4480.4,"Открытое шоссе, дом 21, корпус 6",0.0,"шоссе открытое, дом_21, корпус_6"
9578,7683768,1961.0,55.81302,37.72139,Панельные,5.0,Наружные водостоки,"б-р. Маршала Рокоссовского, д. 19/16",4.0,Центральное,79,Центральное,Центральное,Центральное (открытая система),3557.4,95.3,1449.25,3462.1,"бульвар Маршала Рокоссовского, дом 19/16",0.0,"бульвар маршала рокоссовского, дом_19/16"
158,7599755,1960.0,55.81889,37.87194,"Каменные, кирпичные",4.0,Наружные водостоки,"п. Восточный, ул. 9 Мая, д. 21",3.0,Центральное,48,Центральное,Центральное,Центральное (закрытая система),2525.4,0.0,497.93,2026.7,"улица 9 Мая, дом 21",0.3333333333333333,"поселок  восточный, улица 9 мая, дом_21"
7747,8080560,1964.0,55.64237,37.67247,Панельные,5.0,Наружные водостоки,"ул. Кошкина, д. 7",3.0,Отсутствует,60,Центральное,Центральное,Центральное (закрытая система),2580.9,0.0,285.0,2580.9,"Москворечье-Сабурово улица Кошкина, дом 7",0.0,"улица кошкина, дом_7"
17179,7673434,1962.0,55.67451,37.50608,Панельные,5.0,Не заполнено,"ул. Удальцова, д. 47",4.0,Центральное,Не заполнено,Центральное,Центральное,Центральное (закрытая система),3530.0,45.0,0.0,3485.0,"улица Удальцова, дом 47",0.0,"улица удальцова, дом_47"
6342,7560489,1951.0,55.79789,37.80428,"Каменные, кирпичные",3.0,Наружные водостоки,"б-р. Измайловский, д. 59а",2.0,Центральное,1,Центральное,Центральное,Центральное (открытая система),1157.0,0.0,1.0,1157.0,"Измайловский бульвар, дом 59А",0.0,"бульвар измайловский, дом_59а"
12,8659276,1959.0,55.38529,37.20074,"Каменные, кирпичные",1.0,Отсутствует,"п. Армейский, д. 32",4.0,Отсутствует,4,Центральное,Центральное,Отсутствует,132.0,0.0,132.0,95.6,"поселение Михайлово-Ярцевское, посёлок Армейский, дом 36",0.7142857142857143,"поселок  армейский, дом_32"
19078,7602904,1979.0,55.69929,37.74525,"Каменные, кирпичные",9.0,Внутренние водостоки,"ул. Юных Ленинцев, д. 18, к. 2",3.0,Центральное,96,Центральное,Центральное,Центральное (закрытая система),4776.7,44.4,1828.0,2624.0,"улица Юных Ленинцев, дом 44, корпус 2",0.3333333333333333,"улица юных ленинцев, дом_18, корпус_2"
19120,7722047,1962.0,55.70069,37.76748,Панельные,5.0,Наружные водостоки,"ул. Юных Ленинцев, д. 71, к. 2",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3532.3,26.6,26.6,3505.7,"улица Юных Ленинцев, дом 71, корпус 2",0.0,"улица юных ленинцев, дом_71, корпус_2"
537,8663347,1967.0,55.31001,37.17902,"Каменные, кирпичные",2.0,Отсутствует,"п. ЛМС, мкр. Центральный, д. 3",2.0,Центральное,16,Центральное,Центральное,Центральное (закрытая система),634.7,0.0,634.7,407.7,"поселение Вороновское, посёлок ЛМС, микрорайон Центральный, дом 3",0.5,"поселок  лмс, мкр. центральный, дом_3"
5051,7553905,1953.0,55.53974,37.57481,"Каменные, кирпичные",3.0,Наружные водостоки,"проезд. Джанкойский, д. 3",3.0,Центральное,24,Центральное,Центральное,Квартирное (квартирный котел),1729.8,431.0,217.0,1298.7,"Джанкойский проезд, дом 3",0.0,"проезд. джанкойский, дом_3"
2077,8940771,1961.0,55.87394,37.5081,Панельные,5.0,Наружные водостоки,"ул. Базовская, д. 4а",3.0,Центральное,60,Центральное,Центральное,Отсутствует,2582.0,9.0,0.0,2573.0,"Базовская улица, дом 24Г",0.0,"улица базовская, дом_4а"
12589,7559833,1962.0,55.80119,37.81623,Панельные,5.0,Наружные водостоки,"ул. Парковая 15-я, д. 33, к. 4",4.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2618.93,86.1,0.0,2532.83,"15-я Парковая улица, дом 33, корпус 4",0.0,"улица парковая 15-я, дом_33, корпус_4"
5576,7762103,1956.0,55.87935,37.71514,"Каменные, кирпичные",4.0,Наружные водостоки,"ул. Егора Абакумова, д. 10, к. 1",3.0,Центральное,42,Центральное,Центральное,Отсутствует,4146.2,1236.0,0.0,2910.2,"улица Егора Абакумова, дом 10, корпус 1",0.0,"улица егора абакумова, дом_10, корпус_1"
12178,7677090,1960.0,55.80833,37.72364,Блочные,5.0,Наружные водостоки,"ш. Открытое, д. 1, к. 7",4.0,Центральное,80,Центральное,Центральное,Центральное (открытая система),3529.0,53.0,1089.0,2386.0,"Открытое шоссе, дом 1, корпус 7",0.0,"шоссе открытое, дом_1, корпус_7"
5550,7762371,1965.0,55.8613,37.6889,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Дудинка, д. 1",4.0,Центральное,76,Центральное,Центральное,Отсутствует,4476.1,1239.8,0.0,3236.3,"улица Дудинка, дом 1",0.0,"улица дудинка, дом_1"
8325,8905549,1951.0,55.65666,37.7024,"Каменные, кирпичные",2.0,Наружные водостоки,"ул. Курьяновская 3-я, д. 9",2.0,Центральное,12,Центральное,Центральное,Отсутствует,642.4,0.0,407.5,407.5,"3-я Курьяновская улица, дом 9",0.0,"улица курьяновская 3-я, дом_9"
3892,7762651,1962.0,55.70378,37.78452,Панельные,5.0,Наружные водостоки,"пр-кт. Волгоградский, д. 157, к. 1",5.0,Центральное,100,Центральное,Центральное,Центральное (закрытая система),4539.0,0.0,9.0,4449.0,"Волгоградский проспект, дом 157, корпус 1",0.0,"проспект волгоградский, дом_157, корпус_1"
686,8249445,1962.0,55.53549,37.16328,"Каменные, кирпичные",3.0,Наружные водостоки,"п. Первомайское, ул. Центральная, д. 2",3.0,Центральное,36,Центральное,Центральное,Центральное (закрытая система),2041.0,0.0,0.0,1526.5,"поселение Первомайское, посёлок Птичное, улица Центральная Усадьба, дом 2",0.2857142857142857,"поселок  первомайское, улица центральная, дом_2"
4780,7606064,1966.0,55.72223,37.73652,Панельные,5.0,Наружные водостоки,"кв-л. Грайвороново 90а, д. -, к. 1",5.0,Центральное,100,Центральное,Центральное,Центральное (закрытая система),4502.8,0.0,2294.3,2952.0,"квартал Грайвороново 90а, корпус 10",0.4,"квартал грайвороново 90а, корпус_1"
4012,7850377,1930.0,55.7505,37.67804,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Волочаевская, д. 17А",5.0,Центральное,46,Центральное,Центральное,Центральное (закрытая система),4534.0,1096.0,0.0,2438.0,"Волочаевская улица, дом 40А",0.0,"улица волочаевская, дом_17а"
11172,8999489,1965.0,55.87729,37.51555,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Новая, д. 22",4.0,Центральное,78,Центральное,Центральное,Центральное (закрытая система),3449.0,6244.0,0.0,3378.0,"Новая улица, дом 22",0.0,"улица новая, дом_22"
5758,7957350,1961.0,55.79206,37.4558,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Живописная, д. 30, к. 2",3.0,Центральное,59,Центральное,Центральное,Центральное (закрытая система),3022.9,546.4,288.0,2476.5,"Живописная улица, дом 30, корпус 2",0.0,"улица живописная, дом_30, корпус_2"
6408,8043560,1963.0,55.88922,37.58125,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Илимская, д. 5",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3536.0,124.0,1956.0,3412.0,"Илимская улица, дом 5Б",0.0,"улица илимская, дом_5"
14770,7575092,1960.0,55.73116,37.74409,"Каменные, кирпичные",5.0,Не заполнено,"пр-кт. Рязанский, д. 19, к. 2",3.0,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,2445.3,64.0,0.0,1540.0,"Рязанский проспект, дом 19, корпус 2",0.0,"проспект рязанский, дом_19, корпус_2"
15144,7602146,1967.0,55.62287,37.65047,Блочные,5.0,Наружные водостоки,"ул. Севанская, д. 19, к. 3",5.0,Центральное,100,Центральное,Центральное,Центральное (закрытая система),4488.9,0.0,0.0,4488.9,"Севанская улица, дом 19, корпус 3",0.0,"улица севанская, дом_19, корпус_3"
5895,7569217,1964.0,55.67986,37.68735,Блочные,5.0,Внутренние водостоки,"ул. Затонная, д. 9, к. 4",4.0,Отсутствует,80,Центральное,Центральное,Центральное (закрытая система),3717.9,0.0,1165.9,3673.1,"Затонная улица, дом 9, корпус 4",0.0,"улица затонная, дом_9, корпус_4"
17840,8043343,1964.0,55.6507,37.57644,Блочные,5.0,Наружные водостоки,"ул. Херсонская, д. 6",5.0,Центральное,100,Центральное,Центральное,Центральное (закрытая система),4473.1,0.0,0.0,4473.1,"Херсонская улица, дом 6",0.0,"улица херсонская, дом_6"
10852,8223944,1961.0,55.77327,37.47818,Смешанные,5.0,Наружные водостоки,"ул. Народного Ополчения, д. 16, к. 1",3.0,Центральное,58,Центральное,Центральное,Центральное (закрытая система),2613.8,27.8,0.0,2586.0,"улица Народного Ополчения, дом 16, корпус 1",0.0,"улица народного ополчения, дом_16, корпус_1"
3860,7759489,1962.0,55.70569,37.77166,Панельные,5.0,Наружные водостоки,"пр-кт. Волгоградский, д. 131, к. 2",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3490.0,0.0,5.0,3485.0,"Волгоградский проспект, дом 131, корпус 2",0.0,"проспект волгоградский, дом_131, корпус_2"
1677,7557190,1964.0,55.81379,37.79136,"Каменные, кирпичные",5.0,Внутренние водостоки,"ул. Амурская, д. 23, к. 1",4.0,Центральное,80,Центральное,Центральное,Центральное (открытая система),3435.0,0.0,3435.0,3435.0,"Амурская улица, дом 23, корпус 1",0.0,"улица амурская, дом_23, корпус_1"
6686,8179111,1966.0,55.63715,37.80193,Панельные,9.0,Не заполнено,"кв-л. Капотня 3-й, д. 1",1.0,Центральное,72,Центральное,Центральное,Центральное (закрытая система),2550.0,0.0,0.0,1649.0,"3-й квартал Капотня, дом 1",0.0,"квартал капотня 3-й, дом_1"
11009,7574706,1964.0,55.73161,37.71591,"Каменные, кирпичные",5.0,Не заполнено,"ул. Нижегородская, д. 80, к. 1",4.0,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,2850.1,1034.2,0.0,0.0,"Нижегородская улица, дом 80, корпус 1",0.0,"улица нижегородская, дом_80, корпус_1"
16591,7566695,1964.0,55.6823,37.75502,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Таганрогская, д. 10/21",8.0,Центральное,63,Центральное,Центральное,Центральное (закрытая система),6700.2,993.4,0.0,5706.8,"Таганрогская улица, дом 10/21",0.0,"улица таганрогская, дом_10/21"
8866,7982955,1964.0,55.87187,37.67463,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Летчика Бабушкина, д. 33, к. 2",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3338.7,0.0,2124.0,3338.7,"улица Лётчика Бабушкина, дом 33, корпус 2",0.0,"улица летчика бабушкина, дом_33, корпус_2"
10519,8157786,1960.0,55.75054,37.52499,"Каменные, кирпичные",5.0,Наружные водостоки,"проезд. Мукомольный, д. 1, к. 1",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3414.2,21.8,5.3,3392.2,"Мукомольный проезд, дом 1, корпус 1",0.0,"проезд. мукомольный, дом_1, корпус_1"
13448,7920148,1967.0,55.85949,37.4286,Панельные,5.0,Наружные водостоки,"ул. Планерная, д. 1, к. 4",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3550.6,0.0,1069.8,3550.6,"Планерная улица, дом 1, корпус 4",0.0,"улица планерная, дом_1, корпус_4"
10234,8132364,1917.0,55.84076,37.51566,"Каменные, кирпичные",3.0,Наружные водостоки,"ул. Михалковская, д. 46, к. 1",2.0,Центральное,24,Центральное,Центральное,Центральное (открытая система),1821.0,517.0,0.0,1304.0,"Михалковская улица, дом 46, корпус 1",0.0,"улица михалковская, дом_46, корпус_1"
6902,8051267,1964.0,55.6524,37.58148,Блочные,5.0,Наружные водостоки,"ул. Каховка, д. 15, к. 2",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2654.3,65.4,0.0,2588.9,"улица Каховка, дом 15, корпус 2",0.0,"улица каховка, дом_15, корпус_2"
18279,8042973,1962.0,55.64487,37.59784,Блочные,5.0,Наружные водостоки,"б-р. Черноморский, д. 19, к. 2",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3544.6,0.0,0.0,3544.6,"Черноморский бульвар, дом 19, корпус 2",0.0,"бульвар черноморский, дом_19, корпус_2"
12777,7561950,1951.0,55.79348,37.79119,"Каменные, кирпичные",4.0,Внутренние водостоки,"ул. Парковая 6-я, д. 20/53",2.0,Центральное,1,Центральное,Центральное,Центральное (закрытая система),1232.0,304.0,1.0,928.0,"6-я Парковая улица, дом 20/53",0.0,"улица парковая 6-я, дом_20/53"
2566,7557940,1964.0,55.81122,37.78174,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Бирюсинка, д. 15, к. 1",4.0,Центральное,80,Центральное,Центральное,Центральное (открытая система),4482.5,27.0,1039.1,3416.4,"улица Бирюсинка, дом 15, корпус 1",0.0,"улица бирюсинка, дом_15, корпус_1"
6858,7689588,1959.0,55.73674,37.48209,Панельные,5.0,Внутренние водостоки,"ул. Кастанаевская, д. 36, к. 2",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),3080.0,543.8,0.0,2536.2,"Кастанаевская улица, дом 36, корпус 2",0.0,"улица кастанаевская, дом_36, корпус_2"
5886,7569131,1963.0,55.68104,37.68447,Блочные,5.0,Внутренние водостоки,"ул. Затонная, д. 5, к. 2",4.0,Отсутствует,80,Центральное,Центральное,Центральное (закрытая система),3710.2,0.0,1213.8,3665.4,"Затонная улица, дом 5, корпус 2",0.0,"улица затонная, дом_5, корпус_2"
4430,7582497,1962.0,55.78142,37.47348,Блочные,5.0,Наружные водостоки,"б-р. Генерала Карбышева, д. 18, к. 2",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2616.2,13.6,0.0,2602.6,"бульвар Генерала Карбышева, дом 18, корпус 2",0.0,"бульвар генерала карбышева, дом_18, корпус_2"
9570,7683799,1961.0,55.81101,37.7244,Блочные,5.0,Наружные водостоки,"б-р. Маршала Рокоссовского, д. 9",3.0,Центральное,60,Центральное,Центральное,Центральное (открытая система),2605.5,51.1,1550.15,2554.5,"бульвар Маршала Рокоссовского, дом 9",0.0,"бульвар маршала рокоссовского, дом_9"
4108,7871282,1931.0,55.71688,37.66237,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Восточная, д. 1, к. 1",3.0,Центральное,30,Центральное,Центральное,Центральное (закрытая система),2736.2,382.4,283.0,2353.8,"Восточная улица, дом 1, корпус 1",0.0,"улица восточная, дом_1, корпус_1"
4564,9059435,2014.0,55.51384,37.36944,Блочные,3.0,Внутренние водостоки,"ул. Гимнастическая (п Десеновское), д. 12",1.0,Отсутствует,17,Центральное,Центральное,Центральное (закрытая система),1255.0,0.0,144.0,1065.0,"поселение Десеновское, Офицерская улица, дом 12",0.5714285714285714,"улица гимнастическая (п десеновское), дом_12"
8367,7555913,1963.0,55.74092,37.78053,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Кусковская, д. 23, к. 3",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3412.4,0.0,3412.4,2244.7,"Кусковская улица, дом 23, корпус 3",0.0,"улица кусковская, дом_23, корпус_3"
18188,8019144,1968.0,55.84632,37.55619,Панельные,9.0,Внутренние водостоки,"проезд. Черепановых, д. 74",6.0,Центральное,215,Центральное,Центральное,Центральное (открытая система),10432.0,152.1,2310.7,10279.9,"проезд Черепановых, дом 74",0.0,"проезд. черепановых, дом_74"
12754,8042102,1960.0,55.80782,37.78548,Панельные,5.0,Наружные водостоки,"ул. Парковая 5-я, д. 55, к. 3",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3520.5,45.3,400.0,3475.2,"5-я Парковая улица, дом 55, корпус 3",0.0,"улица парковая 5-я, дом_55, корпус_3"
1064,7931975,1959.0,55.5127,37.53445,"Каменные, кирпичные",4.0,Наружные водостоки,"г. Щербинка, ул. Остафьевская, д. 13",3.0,Центральное,36,Центральное,Центральное,Отсутствует,1648.8,0.0,114.5,1534.3,"город Щербинка, Остафьевская улица, дом 13",0.0,"город щербинка, улица остафьевская, дом_13"
7054,8051452,1963.0,55.65193,37.57866,Блочные,5.0,Наружные водостоки,"ул. Керченская, д. 20",6.0,Центральное,120,Центральное,Центральное,Центральное (закрытая система),5195.7,0.0,0.0,5195.7,"Керченская улица, дом 20",0.0,"улица керченская, дом_20"
9436,7660592,1965.0,55.77696,37.48225,Панельные,5.0,Наружные водостоки,"пр-кт. Маршала Жукова, д. 24, к. 3",5.0,Центральное,100,Центральное,Центральное,Центральное (закрытая система),4415.6,0.0,0.0,4415.6,"проспект Маршала Жукова, дом 24, корпус 3",0.0,"проспект маршала жукова, дом_24, корпус_3"
5984,7717606,1964.0,55.7103,37.77174,Панельные,5.0,Наружные водостоки,"ул. Зеленодольская, д. 21, к. 1",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2546.4,0.0,0.0,2546.4,"Зеленодольская улица, дом 21, корпус 1",0.0,"улица зеленодольская, дом_21, корпус_1"
19154,7746039,1961.0,55.70012,37.78068,Панельные,5.0,Наружные водостоки,"ул. Юных Ленинцев, д. 97, к. 4",3.0,Центральное,60,Центральное,Центральное,Центральное (закрытая система),2569.7,20.9,20.9,2548.8,"улица Юных Ленинцев, дом 97, корпус 4",0.0,"улица юных ленинцев, дом_97, корпус_4"
7762,7673713,1962.0,55.67682,37.49063,Панельные,5.0,Не заполнено,"ул. Коштоянца, д. 25",4.0,Центральное,Не заполнено,Центральное,Центральное,Центральное (закрытая система),3512.0,0.0,0.0,3512.0,"улица Коштоянца, дом 25",0.0,"улица коштоянца, дом_25"
4142,7952912,1950.0,55.81269,37.46188,"Каменные, кирпичные",3.0,Наружные водостоки,"проезд. Врачебный, д. 6, к. 1",1.0,Центральное,12,Центральное,Центральное,Отсутствует,694.1,0.0,62.3,694.1,"Покровское-Стрешнево Врачебный проезд, дом 6, корпус 1",0.0,"проезд. врачебный, дом_6, корпус_1"
9779,7835669,1960.0,55.82667,37.52654,"Каменные, кирпичные",5.0,Наружные водостоки,"б-р. Матроса Железняка, д. 6",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3766.5,0.0,0.0,3392.5,"бульвар Матроса Железняка, дом 6",0.0,"бульвар матроса железняка, дом_6"
5673,7603401,1966.0,55.62746,37.67483,Блочные,5.0,Наружные водостоки,"ул. Ереванская, д. 22, к. 2",6.0,Центральное,120,Центральное,Центральное,Центральное (закрытая система),5216.7,0.0,0.0,5216.7,"Ереванская улица, дом 22, корпус 2",0.0,"улица ереванская, дом_22, корпус_2"
10882,7814486,1961.0,55.65677,37.38756,"Каменные, кирпичные",4.0,Наружные водостоки,"ул. Наро-Фоминская, д. 9",4.0,Центральное,64,Центральное,Центральное,Центральное (закрытая система),3234.0,653.0,1987.0,25181.0,"Наро-Фоминская улица, дом 9",0.0,"улица наро-фоминская, дом_9"
9422,7660430,1967.0,55.77674,37.48944,Панельные,5.0,Наружные водостоки,"пр-кт. Маршала Жукова, д. 16, к. 7",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3551.2,0.0,0.0,3551.2,"проспект Маршала Жукова, дом 16, корпус 7",0.0,"проспект маршала жукова, дом_16, корпус_7"
