,id,address,base_addr,dist
19554,8022487,"проезд. Новомихалковский 3-й, д. 11","3-й Новомихалковский проезд, дом 11",0.2857142857142857
21401,7559850,"улица Парковая 13-я, д. 14","13-я Парковая улица, дом 14",0.2857142857142857
23935,7560537,"улица Прядильная 1-я, д. 14","1-я Прядильная улица, дом 14",0.2857142857142857
6590,7680285,"улица Владимирская 2-я, д. 22","2-я Владимирская улица, дом 22",0.2857142857142857
19562,8022500,"проезд. Новомихалковский 3-й, д. 18","3-й Новомихалковский проезд, дом 18",0.2857142857142857
29524,7727357,"улица Филевская 3-я, д. 10","3-я Филёвская улица, дом 10",0.2857142857142857
17464,8152596,"переулок Михалковский 3-й, д. 5","3-й Михалковский переулок, дом 5",0.2857142857142857
28368,7602078,"улица Текстильщиков 8-я, д. 7А","8-я улица Текстильщиков, дом 7А",0.2857142857142857
26271,7854431,"улица Синичкина 2-я, д. 15","2-я улица Синичкина, дом 15",0.2857142857142857
21740,7562084,"улица Парковая 7-я, д. 21а","7-я Парковая улица, дом 21А",0.2857142857142857
5194,7700610,"проезд. Ботанический 2-й, д. 6","2-й Ботанический проезд, дом 6",0.2857142857142857
6509,7561239,"улица Владимирская 1-я, д. 9А","1-я Владимирская улица, дом 9А",0.2857142857142857
12602,7628216,"улица Кожуховская 5-я, д. 35","5-я Кожуховская улица, дом 35",0.2857142857142857
11772,7574422,"улица Карачаровская 2-я, д. 10","2-я Карачаровская улица, дом 10",0.2857142857142857
21408,7559525,"улица Парковая 13-я, д. 17","13-я Парковая улица, дом 17",0.2857142857142857
21210,7875919,"проезд. Павелецкий 3-й, д. 11","3-й Павелецкий проезд, дом 11",0.2857142857142857
14533,7653611,"улица Лазенки 6-я, д. 3","6-я улица Лазенки, дом 3",0.2857142857142857
6646,7680677,"улица Владимирская 3-я, д. 10А","3-я Владимирская улица, дом 10А",0.2857142857142857
6653,8644037,"улица Владимирская 3-я, д. 19","3-я Владимирская улица, дом 19",0.2857142857142857
19540,8022433,"проезд. Новомихалковский 1-й, д. 12","1-й Новомихалковский проезд, дом 12",0.2857142857142857
6612,8643780,"улица Владимирская 2-я, д. 39","2-я Владимирская улица, дом 39",0.2857142857142857
1952,7564341,"проспект 40 лет Октября, д. 5","проспект 40 лет Октября, дом 5",0.2857142857142857
25844,7671559,"линия. Северная 9-я, д. 1","9-я Северная линия, дом 1",0.2857142857142857
21390,8041289,"улица Парковая 11-я, д. 53","11-я Парковая улица, дом 53",0.2857142857142857
16880,7553980,"улица Мелитопольская 1-я, д. 8Б","1-я Мелитопольская улица, дом 8Б",0.2857142857142857
21350,7566288,"улица Парковая 10-я, д. 4","4-я Парковая улица, дом 10",0.2857142857142857
18171,8489310,"улица Мясниковская 1-я, д. 14А","1-я Мясниковская улица, дом 14А",0.2857142857142857
28338,7601472,"улица Текстильщиков 1-я, д. 8","8-я улица Текстильщиков, дом 1",0.2857142857142857
19576,8022352,"проезд. Новомихалковский 4-й, д. 15","4-й Новомихалковский проезд, дом 15",0.2857142857142857
16737,8117824,"бульвар Матроса Железняка, д. 18/12","бульвар Матроса Железняка, дом 18/12",0.2857142857142857
19705,7838719,"переулок Новоподмосковный 8-й, д. 3","8-й Новоподмосковный переулок, дом 3",0.2857142857142857
11769,7574400,"улица Карачаровская 1-я, д. 17","1-я Карачаровская улица, дом 17",0.2857142857142857
8385,7598482,"проезд. Грайвороновский 1-й, д. 6","1-й Грайвороновский проезд, дом 6",0.2857142857142857
17465,7837392,"переулок Михалковский 3-й, д. 6","3-й Михалковский переулок, дом 6",0.2857142857142857
14537,7653645,"улица Лазенки 6-я, д. 7","7-я улица Лазенки, дом 6",0.2857142857142857
19552,8022484,"проезд. Новомихалковский 3-й, д. 9","3-й Новомихалковский проезд, дом 9",0.2857142857142857
25973,7568040,"проезд. Сельскохозяйственный 1-й, д. 5","1-й Сельскохозяйственный проезд, дом 5",0.2857142857142857
19601,8162824,"улица Новоостанкинская 3-я, д. 21","3-я Новоостанкинская улица, дом 21",0.2857142857142857
14537,7653645,"улица Лазенки 6-я, д. 7","7-я улица Лазенки, дом 6",0.2857142857142857
19563,8022502,"проезд. Новомихалковский 3-й, д. 20","3-й Новомихалковский проезд, дом 20",0.2857142857142857
6630,7554310,"улица Владимирская 2-я, д. 57","2-я Владимирская улица, дом 57",0.2857142857142857
11313,7637163,"проезд. Институтский 2-й, д. 3","2-й Институтский проезд, дом 3",0.2857142857142857
6578,7677773,"улица Владимирская 2-я, д. 13","2-я Владимирская улица, дом 13",0.2857142857142857
19591,8162768,"улица Новоостанкинская 2-я, д. 17","2-я Новоостанкинская улица, дом 17",0.2857142857142857
19549,8022468,"проезд. Новомихалковский 3-й, д. 7А","3-й Новомихалковский проезд, дом 7А",0.2857142857142857
16879,7553979,"улица Мелитопольская 1-я, д. 8А","1-я Мелитопольская улица, дом 8А",0.2857142857142857
19569,8100664,"проезд. Новомихалковский 4-й, д. 8","4-й Новомихалковский проезд, дом 8",0.2857142857142857
6506,7561228,"улица Владимирская 1-я, д. 7","1-я Владимирская улица, дом 7",0.2857142857142857
6608,7680430,"улица Владимирская 2-я, д. 36","2-я Владимирская улица, дом 36",0.2857142857142857
28371,7602105,"улица Текстильщиков 8-я, д. 9","8-я улица Текстильщиков, дом 9",0.2857142857142857
21654,7561857,"улица Парковая 5-я, д. 38","5-я Парковая улица, дом 38",0.2857142857142857
12600,7627664,"улица Кожуховская 5-я, д. 33","5-я Кожуховская улица, дом 33",0.2857142857142857
21155,7717307,"переулок Очаковский 4-й, д. 3","4-й Очаковский переулок, дом 3",0.2857142857142857
6555,7677737,"улица Владимирская 1-я, д. 41","1-я Владимирская улица, дом 41",0.2857142857142857
6579,7677776,"улица Владимирская 2-я, д. 13Б","2-я Владимирская улица, дом 13Б",0.2857142857142857
21710,7561953,"улица Парковая 6-я, д. 24","6-я Парковая улица, дом 24",0.2857142857142857
8336,7676966,"улица Гражданская 4-я, д. 32","4-я Гражданская улица, дом 32",0.2857142857142857
18170,8489307,"улица Мясниковская 1-я, д. 14","1-я Мясниковская улица, дом 14",0.2857142857142857
9739,7627455,"улица Дубровская 1-я, д. 2","2-я Дубровская улица, дом 1",0.2857142857142857
19575,8022356,"проезд. Новомихалковский 4-й, д. 13","4-й Новомихалковский проезд, дом 13",0.2857142857142857
19594,8162794,"улица Новоостанкинская 2-я, д. 23","2-я Новоостанкинская улица, дом 23",0.2857142857142857
